"","P_MASS_EST","P_RADIUS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_DISTANCE","P_PERIASTRON","P_APASTRON","P_FLUX","P_TEMP_EQUIL","P_TYPE","S_TEMPERATURE","S_RADIUS_EST","S_TYPE_TEMP","S_LUMINOSITY","S_HZ_MIN","S_HZ_MAX","P_HABITABLE"
"Kepler-1424 b",-0.974483990028074,-0.819108670629323,-0.173249371656258,0.22816185850466,-0.180177888472607,-0.118857859663023,-0.201899645687401,-0.276962998682541,-0.141525625804371,"Terran",0.527226931663834,-0.135512917307841,"G",-0.0485643815166118,-0.108723633230067,-0.11314893232831,"non-habitable"
"Kepler-1568 b",-0.875866318762005,-0.790929058532728,-0.247991297995487,0.04383750208403,-0.252840211252304,-0.205285960446073,-0.268912186696315,0.0531801092004072,0.129944643989196,"Terran",0.651473072685489,-0.0978961672487404,"G",0.16330112664031,-0.0225017765992323,-0.0333893866753273,"non-habitable"
"WASP-4 b",1.35108844167827,1.84061317879544,-0.542589870950804,-1.19266430937517,-0.539241935785887,-0.545946101293433,-0.533045049177461,1.44012744416831,1.25243926588864,"Jovian",0.156927127471096,-0.188803313224899,"G",-0.392510991237789,-0.246407062726315,-0.239387999016379,"non-habitable"
"HD 113996 b",2.13483668261268,1.41257216104594,1.75081056343446,1.88223909374627,1.74730499007635,1.56854130277794,1.873515989537,0.0663715838516205,0.117492417879189,"Jovian",-1.54548245518763,7.40037601119858,"K",5.41329937786648,6.82104765147953,6.91493920756031,"non-habitable"
"Kepler-634 b",-0.650264636007661,-0.676042947677379,-0.456641800145936,-0.656672833470037,-0.455685265935411,-0.446559734237317,-0.455985239489024,1.02544036412444,0.917900749693993,"Superterran",0.77430418423386,-0.0822225213907819,"F",0.291115379970886,0.0280938817491622,0.0125364177958857,"non-habitable"
"HD 189733 b",1.33085880935599,1.40708068500168,-0.523235065569803,-1.01613470327799,-0.520425654418592,-0.523565101069901,-0.515691807792871,0.818060222616803,0.750440692123616,"Jovian",-0.370598002223634,-0.235824250798775,"K",-0.674055624390613,-0.369512384762724,-0.352170304665919,"non-habitable"
"Kepler-56 b",0.0470195137813656,0.217033989537783,-0.357210130951055,-0.312574950913969,-0.359020162486366,-0.331581558705713,-0.366836228540807,1.23242117254744,1.08491538324703,"Jovian",-0.636763409751972,0.855061500915134,"K",1.82211439428692,0.96964027934973,0.961282807736132,"non-habitable"
"Kepler-130 d",-0.742113402347394,-0.725899184463663,0.188573368641196,0.814801804989638,0.171577572380813,0.299537193765167,0.122505442724328,-0.834727359599925,-0.616816030227229,"Superterran",0.575957943490258,-0.116704542278291,"G",0.0499149219144145,-0.0684140317754052,-0.0756876461517444,"non-habitable"
"Kepler-186 b",-1.05384170092698,-0.836449970381074,-0.514827732892633,-0.785437061434142,-0.512252245588692,-0.51384325107849,-0.508153913689803,-0.184820349427387,-0.0653422984618451,"Terran",-2.21265341026755,-0.307923021745384,"M",-0.969935014953373,-0.55971713120734,-0.529147552464407,"non-habitable"
"HD 99492 b",0.0470195137813656,-0.0709397374223579,-0.319171321074571,-0.0638233551620204,-0.314052576316567,-0.364763115365904,-0.274480271283357,-0.434007662681588,-0.290811631725878,"Neptunian",-0.668916293176105,-0.210746417426041,"K",-0.670797112998884,-0.364341442990399,-0.344121023991843,"non-habitable"
"Kepler-154 c",-0.348164668986918,-0.472282675594308,0.0528053352326611,0.629586131437359,0.039587120035223,0.142541330141158,0.000777767882293049,-0.809536570343534,-0.594508843430968,"Neptunian",0.367794217177647,-0.157456021508982,"G",-0.201412385373775,-0.16895328045336,-0.168186116249376,"non-habitable"
"Kepler-1067 b",-1.25981426746777,-0.888473869636326,-0.558587068388934,-1.34893405111225,-0.554794030583982,-0.5644445192517,-0.547387907354341,1.83054808508256,1.56722177055062,"Subterran",0.259925603765755,-0.179399125710124,"G",-0.324110075830921,-0.21890409499212,-0.214371234352187,"non-habitable"
"WASP-153 b",0.834913085811463,2.31749892196859,-0.482485222364755,-0.851932118016849,-0.480805193828853,-0.47761569565398,-0.478247874574621,1.48662255831961,1.28990918846041,"Jovian",0.60753425236205,0.0713792080172109,"G",0.787651403420863,0.267575355380669,0.24116281959062,"non-habitable"
"WASP-73 b",1.7651266034802,2.03570280100264,-0.435869899123421,-0.763231294460935,-0.435491317896187,-0.422540070268779,-0.437361450442075,1.56008655394479,1.34916914166317,"Jovian",0.728140639457543,0.32842700008773,"F",1.67410144674765,0.765074236628723,0.707264985443141,"non-habitable"
"61 Vir b",-0.580940729403266,-0.635111002413764,-0.47732862400874,-0.749526571352626,-0.474974256297412,-0.486831127691144,-0.461928106280055,0.778984106175599,0.714717205617317,"Superterran",0.243248499395853,-0.169994938195349,"G",-0.295274196668331,-0.205993110010851,-0.201867234625366,"non-habitable"
"Kepler-1552 b",-0.473870474377654,-0.565492161759968,0.559449674715435,1.22433433602382,0.532134694510585,0.728401371200819,0.455027828583544,-1.60348117641801,-1.44304288485471,"Superterran",-0.188935457067655,-0.226420063284,"K",-0.609117457050865,-0.339628972878781,-0.325068472854414,"habitable"
"HD 73526 c",1.65287591006295,1.52634698231974,1.14254577704444,1.6198352005997,1.14606651896362,0.967155707713623,1.27056593789786,-1.43111030153319,-1.23486878717075,"Jovian",0.269910410969926,0.00868462458537714,"G",0.37010433438195,0.0846877422685278,0.0746225385077613,"non-habitable"
"Kepler-922 b",-0.824869218358933,-0.767084771374071,-0.552815460958086,-1.29624527301704,-0.549183011138288,-0.557770499820497,-0.542213166769095,1.72562553749005,1.48263512892662,"Terran",0.34702681480788,-0.179399125710124,"G",-0.293408274496568,-0.207833563980869,-0.204872961923671,"non-habitable"
"Kepler-366 b",-0.81136153169859,-0.760581783967164,-0.489531220395136,-0.858428430101112,-0.487659577907755,-0.484591536028087,-0.485473422777284,1.16696757939934,1.03211027224674,"Terran",0.909770926663786,-0.141782375651024,"F",0.0998866689974849,-0.0595192401182505,-0.0715073806397291,"non-habitable"
"HD 37605 b",1.73644896883301,1.50623896404828,0.00326504596796619,0.561992372120753,0.106512509840352,-0.364336821022579,0.257269283770883,-0.7956702016348,-0.74808156436015,"Jovian",-0.0391761360497036,-0.185668584053308,"K",-0.442860171850083,-0.264734817785718,-0.254624439298282,"non-habitable"
"Kepler-265 b",-0.661763243848923,-0.682545935084286,-0.433720823388391,-0.523855427760287,-0.433402037590137,-0.420054978656682,-0.435434619908281,0.689102942935494,0.64621360082704,"Superterran",0.524035499971341,-0.126108729793066,"G",-0.0119607509046519,-0.0930334079394793,-0.0982613645013847,"non-habitable"
