"","P_MASS_EST","P_RADIUS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_DISTANCE","P_PERIASTRON","P_APASTRON","P_FLUX","P_TEMP_EQUIL","P_TYPE","S_TEMPERATURE","S_RADIUS_EST","S_TYPE_TEMP","S_LUMINOSITY","S_HZ_MIN","S_HZ_MAX","P_HABITABLE"
"HD 68402 b",1.79828772434768,1.4914642462725,2.24575270447196,2.20888145366446,2.17225540661393,2.61930234403696,2.01180456129813,-1.8519071833724,-2.01469686208619,"Jovian",0.645215100340353,-0.151186563165799,"G",-0.0618844614946589,-0.118262476227287,-0.123651049032616,"non-habitable"
"Kepler-325 c",-0.452139284068298,-0.550318524477187,-0.352311741747559,-0.213446304798244,-0.354258065028648,-0.325917288375927,-0.362444402915561,0.176965889250425,0.230906020240773,"Neptunian",0.435082472503231,-0.157456021508982,"G",-0.174892570211678,-0.159570553961317,-0.160127899613895,"non-habitable"
"Kepler-1577 b",-0.99460306990379,-0.823443995567261,-0.451085810852878,-0.563297353817411,-0.45028386531402,-0.440135045630945,-0.451003819038923,0.0814823421915108,0.15305816088124,"Terran",-0.608605927731841,-0.238958979970366,"K",-0.726029021598796,-0.394220227418106,-0.373964346153739,"non-habitable"
"11 UMi b",2.53293891223213,1.32245115881912,1.68372982653553,1.79000575859628,1.62975273242882,1.88752649119662,1.56715630340603,0.265163761371754,0.300822936050009,"Jovian",-1.49814544441056,8.8674292635035,"K",5.87615242001758,8.34934927322587,8.44267841042003,"non-habitable"
"Kepler-1571 b",-0.784849451113693,-0.747575809153351,-0.484203280865067,-0.84522202447368,-0.482479881840952,-0.478430553601961,-0.480696468479488,1.41275535545188,1.2303656305962,"Superterran",0.997153160696294,-0.0352015838169066,"F",0.613003194841994,0.162586015062476,0.135578544686669,"non-habitable"
"Kepler-671 b",-0.413149161333135,-0.522138912380592,-0.475306221706764,-0.742583190833572,-0.473830372576011,-0.468142406597072,-0.472719492625287,0.765385572935877,0.707877939521823,"Neptunian",0.295354440994364,-0.173129667366941,"G",-0.288245512065374,-0.204277788400969,-0.200872354769457,"non-habitable"
"Kepler-340 b",-0.455211297007765,-0.552486186946155,-0.288638291206445,-0.135611982792061,-0.292356251116112,-0.252288260197087,-0.305355698829996,0.791712531770586,0.729152559051347,"Neptunian",1.30774162336151,0.108995958076311,"F",1.38222135947223,0.539036160167958,0.482452958536908,"non-habitable"
"Kepler-67 b",-0.350891013641376,-0.474450338063277,-0.325543721192695,-0.10570110619378,-0.328234832219485,-0.294963989583784,-0.338444578947702,-0.296941949222575,-0.15809880025137,"Neptunian",-0.0368463689874318,-0.226420063284,"G",-0.572958183783599,-0.324720971658184,-0.312273200627658,"non-habitable"
"K2-38 b",-0.0218540366964315,-0.67387528520841,-0.443669162577615,-0.771027709515542,-0.443073576292637,-0.43155877718293,-0.444354158386092,0.939147860905671,0.848237892533016,"Neptunian",0.440477307376128,-0.0383363129884983,"G",0.290204758328247,0.041617657976231,0.0305541333773659,"non-habitable"
"Kepler-311 c",-0.820347827373573,-0.764917108905102,-0.264911340597401,0.0130865013444237,-0.269289474165416,-0.224851513795802,-0.284082454633846,0.086757543211168,0.157364161156982,"Terran",0.598078206835637,-0.0978961672487404,"G",0.137054512136504,-0.0317910836651584,-0.0413977156027092,"non-habitable"
"Kepler-430 b",-0.277647518219404,-0.41375578893215,-0.100119783939047,0.332436709937992,-0.109083042945926,-0.0342941925619172,-0.136332704401699,-0.117405135124042,-0.00983322068445315,"Neptunian",0.575957943490258,-0.00385429210098964,"G",0.494242112191581,0.12842208587491,0.110324009457068,"non-habitable"
"HATS-25 b",1.04541347347483,1.68887680596763,-0.473986483562921,-0.74073629562989,-0.470731109748309,-0.491281589162165,-0.452576413553579,0.939978124959276,0.839916623207529,"Jovian",0.395014362590233,-0.122974000621474,"G",-0.0565391672911382,-0.107853791743307,-0.110532744646919,"non-habitable"
"Kepler-479 b",-0.576997309676598,-0.632689698298002,-0.363048478194173,-0.224341562696216,-0.3646960647899,-0.338332752963732,-0.372070807086161,-0.147314518241098,-0.0344386378763507,"Superterran",-0.135457041903434,-0.217015875769225,"K",-0.568375533216366,-0.320907431199586,-0.307575474649954,"non-habitable"
"BD+48 740 b",1.5217647284647,1.55822418957527,1.84357165874096,1.98338264591409,2.17973970020285,0.362812653350677,2.46808841016458,-0.479824629607789,-0.542208055742156,"Jovian",-1.04225259213513,2.76724629558607,"K",3.62252199939174,2.90602622855737,2.90447716775691,"non-habitable"
"GJ 3779 b",-0.397602100509567,-0.510548125304994,-0.534631151735596,-0.892863742557977,-0.531356309580481,-0.541789159797023,-0.522003745320979,-0.714687942103477,-0.512896459562201,"Superterran",-2.96955783256351,-0.383156521863584,"M",-1.01803257181963,-0.632561728621061,-0.603026023181865,"non-habitable"
"Kepler-292 f",-0.505865773679639,-0.587168786449657,-0.273512844726283,0.04153593614456,-0.2776516518616,-0.2347978946579,-0.291794440080393,-0.421114185701698,-0.261625895747155,"Superterran",-0.0742279357799686,-0.210746417426041,"K",-0.533355886237358,-0.305489638550352,-0.2933949291961,"non-habitable"
"Kepler-1081 b",-1.101505510553,-0.847288282725918,-0.486912958079706,-0.788824400932455,-0.485114165569542,-0.481563898792095,-0.483125926273267,0.649346457241472,0.614062188621217,"Terran",-0.0205624270021288,-0.20761168825445,"G",-0.508948950335599,-0.295161927474876,-0.284059524624656,"non-habitable"
"K2-117 b",-0.605618281352761,-0.650030998049753,-0.551698977965952,-1.20379266474077,-0.548097592932925,-0.55647945061568,-0.541212144104031,0.365568050961205,0.384200467074372,"Superterran",-2.1747422473411,-0.311057750916975,"M",-0.970756550299822,-0.560674250481055,-0.530282832210735,"non-habitable"
"Kepler-32 b",1.93371002487336,-0.617516061015221,-0.477799086919745,-0.594753575305113,-0.476253876834247,-0.471025040433511,-0.47495455988267,-0.443770432864031,-0.280625452839022,"Jovian",-1.97742896374091,-0.304788292573792,"M",-0.958004855755626,-0.54749473860131,-0.51758573034214,"non-habitable"
"GJ 163 d",0.17267026913598,0.102370175272473,1.14303004013267,1.87656192768214,1.18237903312568,0.806802468285683,1.36028727499427,-1.94680923504555,-3.00992567084244,"Neptunian",-2.64925274996567,-0.351182284313349,"M",-1.00442781028791,-0.605200122599247,-0.574952786911148,"non-habitable"
"Kepler-1299 b",-0.340037053198152,-0.465779688187402,-0.273640265594455,0.0184362315491846,-0.277775527398471,-0.234945238246374,-0.291908683806399,-0.231975886909715,-0.104281141895386,"Neptunian",0.278772337599253,-0.185668584053308,"G",-0.340836015425873,-0.226627142559049,-0.221948616580349,"non-habitable"
"HD 68988 b",1.59070617174504,1.54141155968883,-0.431422667731135,-0.5654561355056,-0.43004257361311,-0.439797945669278,-0.416141624026887,0.784405928520943,0.719098476916874,"Jovian",0.626403256171872,-0.0978961672487404,"G",0.150934135415434,-0.026876732218419,-0.0371621837306672,"non-habitable"
"HD 219134 b",-0.608401969657023,-0.732402171870569,-0.504251917764453,-0.883371417861252,-0.501970689705125,-0.501613868447747,-0.498671789269257,0.500246427790432,0.493382642078166,"Superterran",-0.820323395254309,-0.226420063284,"K",-0.734290526613179,-0.39673602820056,-0.374436073848798,"non-habitable"
"Kepler-940 b",-0.257825018660896,-0.396414489180399,0.0388101616803719,0.605681708673732,0.0259813452335564,0.126357959849581,-0.011770104343304,-0.799615268557032,-0.585755173510916,"Neptunian",0.453405821480119,-0.169994938195349,"G",-0.21732944710431,-0.178163474999146,-0.177978535483884,"non-habitable"
"HD 1605 b.1",1.24188322057896,1.62766576919559,1.64653304443636,1.85157618073184,1.59541823124021,1.81901744304231,1.55159819564733,-1.31411323977122,-1.08118741519587,"Jovian",-0.541291702074786,0.623091542217349,"K",1.46621365636141,0.717898027867425,0.710590899052806,"non-habitable"
"Kepler-65 e",1.18111560986278,1.64300260961163,0.922243127045026,1.40961908114807,0.928561323474315,0.750416864512153,1.05064514509117,-1.21524202342224,-0.99863688069522,"Jovian",0.911770602749867,-0.0289321254737232,"F",0.588940609161241,0.155803678403802,0.130492218221753,"non-habitable"
"K2-12 b",-0.512404420152249,-0.591504111387595,-0.408103407681718,-0.431016203453642,-0.408497395443084,-0.390432186002815,-0.412466411773073,0.455278008828454,0.456948491096931,"Superterran",0.486680434836152,-0.154321292337391,"F",-0.14158153860675,-0.146946492493527,-0.148809906866537,"non-habitable"
"Kepler-1640 b",0.0155973168878282,-0.110283043276512,-0.404477401665426,-0.474184995185391,-0.404972278651724,-0.38623924064048,-0.409215386695629,0.928486367786257,0.839629316602367,"Neptunian",1.02371896827897,-0.0226626671305398,"F",0.681136254845719,0.193091918868823,0.163758895814494,"non-habitable"
"Kepler-252 c",-0.566489243562368,-0.626186710891096,-0.408558528004538,-0.296160823624707,-0.408939852594245,-0.390958466058142,-0.41287446613815,-0.695663745910712,-0.495005651344636,"Superterran",-1.5055181082608,-0.298518834230609,"M",-0.926812345782357,-0.51981318926477,-0.491841891462819,"non-habitable"
"81 Cet b",2.05390313404546,1.4313134497607,2.48141833427696,2.12803387845363,2.43656964351169,2.49850708518162,2.48074862848041,-0.850836877964584,-0.643507690178133,"Jovian",-0.707720797892782,2.97727315008271,"G",4.0400112099479,3.53256271752612,3.47960588883065,"non-habitable"
"K2-260 b",1.43761792153722,2.32183424690653,-0.500374467638421,-0.950187190221678,-0.498201124931785,-0.497130164766456,-0.495195323003169,1.76767948022908,1.51653882849135,"Jovian",1.06579424833681,0.0588402913308442,"F",1.03208961234411,0.364452849825055,0.323470935586465,"non-habitable"
"HD 158996 b",2.5088126559703,1.3278167518779,2.18312823917846,2.04539838240556,2.1242752733968,2.3439391597836,2.09678783835517,0.397088936622583,0.404897170208057,"Jovian",-1.71406268880439,15.2967587944381,"K",7.00815019408774,13.5973176725747,13.8315657142864,"non-habitable"
"HAT-P-37 b",1.34671227441482,1.51112848351218,-0.506287662273149,-0.92476804332066,-0.503803033710985,-0.509993822418318,-0.495834665962486,0.93358450864976,0.842780706697697,"Jovian",0.156927127471096,-0.195072771568083,"G",-0.414615592577992,-0.256181587588606,-0.248725082637896,"non-habitable"
"XO-2 S c",1.42086164104738,1.58303686688956,0.358553936639708,0.991127454122102,0.345802503832985,0.352556525631244,0.380849415602855,-1.25313620483892,-1.02063746252149,"Jovian",0.041850098664071,-0.157456021508982,"G",-0.321603537589677,-0.212626434087989,-0.205641283853642,"non-habitable"
"Kepler-1190 b",-0.861726647179672,-0.784426071125821,-0.396314307821284,-0.314652186341162,-0.39703631300519,-0.37679981711986,-0.401896473633269,-0.300171625934044,-0.160779907196072,"Terran",-0.779498348426933,-0.24522843831355,"K",-0.767573858671787,-0.41581040987992,-0.393581937482567,"non-habitable"
